Codpro;Nompro;Valuni;Nrotab;Codean;Codea2;us01;us02;us03;us04;us05;us06;us07;us08;us09;us10;us11;us12;us13;us14;us15;us16;us17;us18;us19;us20;us21;us22;us23;us24;us25;us26;us27;us28;us29;us30;Tunida;U100xx;U105xx
4152;Jugando Con Las Vocales;26900;  ;000673607964;.110060796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4153;Jugando A Multiplicar;26900;  ;000673607971;.110060797;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4154;Las Horas;9900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4155;Arma Tu Mosaico;27900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4156;Crea Tu Bufanda;25900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4157;Crea Tu Portaretrato;11900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4158;Pinta Tus Dibujos;23900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4159;Crea Tu Joyero;23900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4160;Decora Tu Movil;19900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4161;Decora Tu Gorra;19900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4162;Domino Madera;29900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4163;Memoria Madera;29900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4164;Bingo Madera;29900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4165;Secuencia Madera;21900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4166;Numeros Madera;20900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4167;La Pesca Madera;29900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4168;Romp. Madera X 9;28900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4169;Loteria Aritmetica;9900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4170;Loteria Diversion;9900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4171;Loteria Bilingue Objetos;12900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4172;Loteria Bilingue Naturaleza;12900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4173;Loteria Abecedario;23900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4174;Loteria Formas Y Colores;10900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4175;Loteria Animales;10900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4176;Golosa Princesas;41900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4177;Golosa Mickey;41900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4178;Tapete Toy Story;46900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4179;Tapete Princesas;46900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4180;Tapete Mickey;49900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4181;Tapete Cars;43900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4182;Tapetes Vocales;39900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4183;Tapetes Numeros;39900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4184;Nerf Mini Lanzador;19900;  ;;.18593242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4185;Nerf Dart Tag Set 2 Jugado;119900;  ;;.18593801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4186;Baby Alive Mi Pri Bebe;89900;  ;;.18519141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4187;City Oficial De Policia;10900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4188;Tienda Animal Decora Tu Mascota;55900;  ;;.18569918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4189;Caminadora Con Actividades;149900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4190;Play Doh Set Basicos;22900;  ;;.18523998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4191;Sr. Cara Papa Buzz Ligh;69900;  ;;.18524361;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4192;Sr. Cara De Papa Renov.;79900;  ;;.18502760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4193;Sr. Cara De Papa Conversa;99900;  ;;.18519459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4194;Elefantin Lanza Mariposas;89900;  ;;.18540838;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4195;Whac C Mole;49900;  ;;.18540509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4196;Operaci¢n Reinvencion;89900;  ;;.18540198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4197;Operaci¢n Buzz Light;119900;  ;;.18516786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4198;Monopolio Modular Espa§ol;54900;  ;;.18516901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4199;Inactivo Monopolio Grande;79900;  ;;.18593828;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4200;Burbujas Con Fig. 3d;11900;  ;;.18519010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4201;Lanza Agua Con Clip;10900;  ;;.18519020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4202;Lanza Agua Set X 2;19900;  ;;.18552190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4203;Baby Lagrimitas;129900;  ;;.18501652;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4204;Toy Story Buz Light;239900;  ;;.18564011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4205;Nenuco Recien Nacido;49900;  ;;.18505456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4206;Nenuco Recien Nacido Ni§o;79900;  ;;.18505329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4207;Nenuco Surtido;89900;  ;;.18507422;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4208;Nenuco Peluqueria;159900;  ;;.18502239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4209;Nenuco Fiesta Cumplea§os;169900;  ;;.18505788;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4210;Nenuco Escuela;189900;  ;;.18506792;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4211;Nenuco Salon De Belleza;229900;  ;;.18504685;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4212;Mi Primer Nenuco Picnic;239900;  ;;.18507430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4213;Nenuco Clinica De Maternidad;249900;  ;;.18506848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4214;Zhu Zhu Pet Basico;39900;  ;;.18586656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4215;Zhu Zhu Pets Accesorio;39900;  ;;.18586686;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4216;Zhu Zhu Pets Adiciones;19900;  ;;.18586685;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4217;Zhu Zhu Pet Cuarto Juego;29900;  ;;.18586600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4218;Monn Dough Set Peque§o;49900;  ;;.18509237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4219;Moon Dough Set Grah Magica;99900;  ;;.18511185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4220;Moon Sand Set Perso De Carre;49900;  ;;.18512820;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4221;Moon Sand Set Princesas;49900;  ;;.18513726;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4222;Moon Sand Delicias Dulces;49900;  ;;.18517307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4223;Moon Sand Set Demolicion;64900;  ;;.18512920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4224;Moon Sand Heladeria;64900;  ;;.18512830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4225;Moon Sand Set Princesa Carruaje;64900;  ;;.18512825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4226;Moon Sand Set Grua;89900;  ;;.18513391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4227;Moon Sand Set Pasterleria;89900;  ;;.18513398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4228;Mickey Mouse Balon Suave;24900;  ;;.18572710;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4229;Cars Set Baloncesto;29900;  ;;.18501118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4230;Mickey Mouse Bate Y Bola;37900;  ;;.18504230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4231;Set Completo Beisbol;59900;  ;;.18519030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4232;Toy Story Golf Set;59900;  ;;.18564190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4233;Toy Story Balon Suave;24900;  ;;.18541806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4234;Carlita Antenitas;89900;  ;;.18578922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4235;Cubeta Ladrillo Rosa;69900;  ;;.18505585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4236;Bacugan 2 Basico;24900;  ;;.18512447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4237;Bakutrampa;24900;  ;;.18513709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4238;Bakugan 2 Ataque Especial;24900;  ;;.18512465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4239;Bakugan Set Inicio;49900;  ;;.18512444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4240;Bakugan Set Batalla;79900;  ;;.18512448;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4241;Bakugan Set Batalla Premium;79900;  ;;.18514367;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4242;Bakuesfera;89900;  ;;.18513694;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4243;Flick Trix Bici;29900;  ;;.18510145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4244;Flick Trix Bici;54900;  ;;.18510133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4245;Tico Tacos X 3;8900;  ;;.18560201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4246;Tico Tacos X 6;17900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4247;Baby Alive Interactiva;249900;  ;;.18512931;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4248;C332 10 Modelos;118900;  ;;.73500332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4249;C87 Vehiculos De Construccion;79900;  ;;.73500087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4250;C85 Coches De Racing;88900;  ;;.73500085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4251;C84 Vehiculos De Trabajo Pesado;88900;  ;;.73500084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4252;C05 Grua Y Diversos Modelos;144900;  ;;.73500005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4253;C83 Camiones;88900;  ;;.73500083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4254;C82 Dragster;79900;  ;;.73500082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4255;C74 Set De Construcciïn Energia Solar;187900;  ;;.73500074;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4256;C67 Helicoptero / Aviïn;53900;  ;;.73500068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4257;C64 Jeep Rastrero;53900;  ;;.73500064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4258;C62 Carro De Carreras;39900;  ;;.73500062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4259;C61 Moto;39900;  ;;.73500061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4260;C54 Tractor;24900;  ;;.73500054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4261;El Ratoncito PÇrez;25000;  ;;.81564101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4262;Jgo. Rep. Disn. 4 A§os;21000;  ;;.81501012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4263;Jgo. Rep. Disn. 5 A§os;9000;  ;;.81501013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4264;Jack Sparrow Plata Piratas;24000;  ;;.81501085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4265;Animales Animals;32000;  ;;.81505002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4266;Felices Cuentos;39000;  ;;.81507003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4267;Fluvi Agua Para Que;16000;  ;;.81507128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4268;De Colores Y Plastilinas;17000;01;;.81507210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4269;Mis Primeros A§os;24000;  ;;.81501023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4270;Pteranodon Skeleton Ess;43900;  ;;.17513238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4271;Green Science Water Filter;52900;  ;;.17503281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4272;Smart Robot;53900;  ;;.17503272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4273;My Very Own Fairy;48900;  ;;.17502751;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4274;Robot Duck;53900;  ;;.17503907;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4275;Green Science Weather Stat;45900;  ;;.17503279;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4276;Createyour Own Spiral;26900;  ;;.17504568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4277;My Very Own Fairy Magic;52900;  ;;.17502754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4278;Green Science Dynamo Torch;52900;  ;;.17503263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4279;My Very Own Mermaid Curtain;48900;  ;;.17502752;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4280;Treasure Island;52900;  ;;.17505924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4281;Thread Art;26900;  ;;.17504546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4282;Paint Your Own Mask;45900;  ;;.17504544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4283;Balloon Powered Cosmic Jet;45900;  ;;.17503262;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4284;Animation Praxinoscope;45900;  ;;.17503255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4285;Cosmic Jet Racer;37900;  ;;.17503234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4286;Rfk9861 Celular Sounds Brillant;28900;  ;;.18109861;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4287;Rfm9862 Mickey Mouse Pluto;212900;  ;;.18109862;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4288;Rfp9997 Mickeys World Club House;159900;  ;;.18109997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4289;Rfr9112 Cranky At The Docks;132900;  ;;.18109112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4290;Rft0929 Small Vehicule;23900;  ;;.18100929;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4291;Rft4827 Mannys Repair Shop;212900;  ;;.18104827;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4292;Tablero Magico;25000;  ;;.16500115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4293;Domino Madera X 3;30000;  ;;.16500160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4294;Rompecabezas Movimiento;29000;  ;;.16500008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4295;Rompecabezas Movimiento;23000;  ;;.16500122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4296;Rompecabezas Movimiento;25000;  ;;.16500157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4297;Cubo Madera;29000;  ;;.16500224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4298;Rompecabezas Oso;6000;  ;;.16500026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4299;Rompecabezas Pines;10000;  ;;.16500110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4300;Rompecabezas Pines;10000;  ;;.16500111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4301;Rompecabezas Pesca;8000;  ;;.16500046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4302;Rompecabezas Cuerda;19900;  ;;.16500025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4303;Domino Madera;12000;  ;;.16500028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4304;Movil Cordon;23900;  ;;.16500350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4305;Mapa Colombia;5000;  ;;.16501117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4306;Sistema Digestivo;5000;  ;;.16500113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4307;Esqueleto Humano;7000;  ;;.16500047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4308;Rompecabezas Color;7000;  ;;.16500266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4309;Tablero Tiza;6000;  ;;.16500003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4310;Tablero Iman;29000;  ;;.16500128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4311;Linea 4 Ed. Anterior;29900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4312;Hagamos Fiesta;15000;  ;;.81501006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4313;Rfl8954;62900;  ;;.18508954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4314;Rf Hw Bahia Serpiente;94900;  ;;.18503892;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4315;Rf 50579 Mandibulas Extremas;94900;  ;;.18550579;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4316;Rf1817 Mbx Window Asst;23900;  ;;.18501817;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4317;Rft5148 Cars Dragon;119900;  ;;.18505148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4318;Rfr2886 Ms Figuras;20900;  ;;.18503886;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4319;Rfr3887 Ms Figuras;36900;  ;;.18503887;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4320;Rfr3888 Ms Figuras;41900;  ;;.18503888;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4321;Rfb9854 Scrabble Original;53900;  ;;.18509854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4322;Rft6901 Int Barbie Diary;89900;  ;;.18506901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4323;Rfr4182 Brb Ec Drnd Entry;18900;  ;;.18504323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4324;Rfr4178 Brb Gft Dl;25900;  ;;.18504324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4325;Rfr4170 Brb Gltz Dl Ast;31900;  ;;.18504170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4326;Rft6997 Brb Fashionista;99900;  ;;.18506997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4327;Rft3250 Brb Gltr Blw Dryr;99900;  ;;.18503250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4328;Rfr4199 Brb Aventura Sirenas;22900;  ;;.18504199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4329;Rft2562 Brb Lead Dl;99900;  ;;.18502562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4330;Rft5219 Brb Co Star Marie Alecia;63900;  ;;.18505219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4331;Rfr4205 Brb Glam Convertible;55900;  ;;.181R4205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4332;Rft2706 Brb Pup Swm Schl;99900;  ;;.18502706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4333;Rft3036 Brb Fsh Fairy;72900;  ;;.18503036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4334;Rfk8811 Lm Recien Nacido;51900;  ;;.18508811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4335;Rfj6671 Lm Mellizos;96900;  ;;.18506671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4336;Rft1256 Lm Feeding Fun Laam;253900;  ;;.18501256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4337;Rfr9854 Int Pry Pks Doll Ast;21900;  ;;.18519854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4338;Rft1206;35900;  ;;.18501206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4339;Rfp5044 Present Maquinita;56900;  ;;.18505044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4340;Rfr2639 Int Doll Pet;22900;  ;;.18502639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4341;Rfr2589 Waterplaly Doll Packs;21900;  ;;.18504341;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4342;R2631 Avent Desp Agenda;35900;  ;;.18504342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4343;Rfr2588 Pp Aventura Rop Set;56900;  ;;.18502588;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4344;Rft1211 Pp Rockin Tour Bus;125900;  ;;.18504344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4345;Rft4251 Pp Polly House;99900;  ;;.18504251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4346;Rfg7965 Dsp Princesa Mu§eca;25900;  ;;.18507965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4347;Rfp5364 Fp Silla Aprende Leon;123900;  ;;.18505364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4348;Rfpfp Lnt Heal The;173900;  ;;.18508906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4349;Rft2522 Fp Silla Vibraciones;197900;  ;;.18502522;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4350;Rfp3334 Fp Silla Mece Crece;247900;  ;;.18503334;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4351;Rfk7376 Fp Banquito 2 En ß;114900;  ;;.18507376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4352;Rfm4078 Fp Libro Musical;68900;  ;;.18504078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4353;Rfm4075 Fp Amigos Musicales;132900;  ;;.18504075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4354;Rfr9681 Mini Mobile;52900;  ;;.18504354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4355;Rfp5331 Gimnasio Crece;159900;  ;;.18504355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4356;Rfp5600 Proyector Sonidos;99900;  ;;.18505600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4357;Rfm5661 Vehiculos Actividades;26900;  ;;.18505661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4358;Rfj0893 Vehiculos Sonidos;79900;  ;;.18500893;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4359;Rfj0889 Lp Stdo Vehiculos;52900;  ;;.18500889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4360;Rfh9447 Peque§o Snoopy;35900;  ;;.18509447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4361;Rfr7132 Xilofono Clasico;79900;  ;;.18507132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4362;Rfh2245 Llave Aprende Conmigo;52900;  ;;.18502245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4363;Rfm5727 Super Triciclo Vehiculo;150900;  ;;.18505727;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4364;Rfg2589 Elmo Telefono Celular;56900;  ;;.18502589;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4365;Toys Libros;19900;  ;;.83682695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4366;Toys Libros;19900;  ;;.83682739;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4367;Toys Libros;25900;  ;;.83682974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4368;Toys Libros;19900;  ;;.83683426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4369;Toys Libros;19900;  ;;.83689171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4370;Toys Libros;19900;  ;;.83689185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4371;Toys Libros;19900;  ;;.83689324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4372;Toys Libros;25900;  ;;.83691666;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4373;Toys Libros;27900;  ;;.83691697;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4374;Toys Libros;27900;  ;;.83691713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4375;Toys Libros;27900;  ;;.83691727;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4376;Toys Libros;27900;  ;;.83691744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4377;Toys Libros;27900;  ;;.83691758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4378;Toys Libros;27900;  ;;.83691761;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4379;Toys Libros;19900;  ;;.83694048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
